vacancy_name,employer_name,city,station_name,salary_min,salary_max,salary_currency,vacancy_link,site_address
Test Automation Engineer (Python),ООО СТМ,Новосибирск,,,,,https://pushkino.hh.ru/vacancy/45873273,https://hh.ru
Программист Python,ООО Интернет-компания Парус,Ижевск,,40000,60000,руб.,https://pushkino.hh.ru/vacancy/46544493,https://hh.ru
Программист Python,ООО Махина Альба,Воронеж,,,40000,руб.,https://pushkino.hh.ru/vacancy/46640542,https://hh.ru
Python Backend Developer (Middle),OutStream,Санкт-Петербург,,220000,,,https://pushkino.hh.ru/vacancy/46690842,https://hh.ru
Старший Python-разработчик,ООО АУДИТ-КОНСАЛТИНГ,Пермь,,150000,,,https://pushkino.hh.ru/vacancy/46273982,https://hh.ru
Python developer (Middle / Senior),Big Data Solutions,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/44828907,https://hh.ru
Программист Python,ООО Интернет-компания Парус,Ижевск,,40000,60000,руб.,https://pushkino.hh.ru/vacancy/46544493,https://hh.ru
Ведущий Python разработчик / Senior Python Developer,ООО АвтоЭксперт,Санкт-Петербург,Балтийская,180000,200000,руб.,https://pushkino.hh.ru/vacancy/46209135,https://hh.ru
Python системный программист,ООО АйТиКвик,Минск,,,300000,руб.,https://pushkino.hh.ru/vacancy/46638197,https://hh.ru
Python Developer,АО РТ Лабс,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/46640289,https://hh.ru
Разработчик в тестировании/SDET (Python),"СимбирСофт,ООО",Казань,,,,,https://pushkino.hh.ru/vacancy/46237924,https://hh.ru
Разработчик Python,ПИК,Москва,,,,,https://pushkino.hh.ru/vacancy/45257148,https://hh.ru
Middle Python Developer,NIX,Харьков,,,,,https://pushkino.hh.ru/vacancy/45273971,https://hh.ru
Разработчик в тестировании/SDET (Python),"СимбирСофт,ООО",Самара,,,,,https://pushkino.hh.ru/vacancy/46237926,https://hh.ru
Python Developer,DataArt,Херсон,,,,,https://pushkino.hh.ru/vacancy/46540050,https://hh.ru
Python middle developer/ Python-Разработчик,BestDoctor,Москва,,160000,,,https://pushkino.hh.ru/vacancy/45785483,https://hh.ru
Backend разработчик (Python),ООО Флайдата,Москва,Багратионовская,,,,https://pushkino.hh.ru/vacancy/46292610,https://hh.ru
Программист Python,Alente,Красноярск,,60000,70000,руб.,https://pushkino.hh.ru/vacancy/46463192,https://hh.ru
"Web-разработчик (React, Python)",BeeJee,Киев,Выставочный центр,800,3000,USD,https://pushkino.hh.ru/vacancy/45795350,https://hh.ru
Python Developer,DataArt,Ростов-на-Дону,,,,,https://pushkino.hh.ru/vacancy/46129767,https://hh.ru
Middle Python developer,ООО ЛИГРЕС,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/45740104,https://hh.ru
Ведущий python разработчик,АО РТ Лабс,Москва,Румянцево,,,,https://pushkino.hh.ru/vacancy/45643914,https://hh.ru
Backend/Full-stack developer (python),ATI.SU,Санкт-Петербург,Выборгская,120000,,,https://pushkino.hh.ru/vacancy/45972293,https://hh.ru
Middle/Senior python/Go разработчик,Quiet Media,Москва,Киевская,,,,https://pushkino.hh.ru/vacancy/44685175,https://hh.ru
Разработчик Python (Django/Flask),ООО ИЦ АЙ-ТЕКО,Москва,,150000,220000,руб.,https://pushkino.hh.ru/vacancy/46575862,https://hh.ru
Middle Python developer,Improvado,Москва,,,,,https://pushkino.hh.ru/vacancy/46705549,https://hh.ru
Python developer,ООО АйТи Мегастар,Омск,,80000,130000,руб.,https://pushkino.hh.ru/vacancy/45728417,https://hh.ru
Python разработчик,Wanted,Кипр,,,3500,EUR,https://pushkino.hh.ru/vacancy/46652097,https://hh.ru
"Middle, Senior Python Developer",ООО FITTIN,Воронеж,,80000,120000,руб.,https://pushkino.hh.ru/vacancy/46650664,https://hh.ru
Инженер - Разработчик Python,САТЕЛ,Москва,,,,,https://pushkino.hh.ru/vacancy/46454134,https://hh.ru
Automation QA (Python),Global Hunter,Москва,,,250000,руб.,https://pushkino.hh.ru/vacancy/46641470,https://hh.ru
Разработчик Python,АО Фармстандарт,Москва,Новодачная,,,,https://pushkino.hh.ru/vacancy/46630253,https://hh.ru
Python-разработчик в команду AntiFraud,Райффайзенбанк,Москва,Технопарк,,,,https://pushkino.hh.ru/vacancy/46719452,https://hh.ru
Python-разработчик во Flow,Яндекс,Москва,,,,,https://pushkino.hh.ru/vacancy/45987511,https://hh.ru
Senior Python Developer,Arrival. Technology,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/44079030,https://hh.ru
Python Lead Developer,E-comet,Минск,,2000,3000,USD,https://pushkino.hh.ru/vacancy/46597403,https://hh.ru
Python Developer,Digital Nomads,Томск,,100000,130000,руб.,https://pushkino.hh.ru/vacancy/46295113,https://hh.ru
Программист Python,ООО Битроботикс,Москва,Текстильщики,,,,https://pushkino.hh.ru/vacancy/46002209,https://hh.ru
Middle/Senior Разработчик Python,ООО НТ Прогресс,Москва,Автозаводская,,,,https://pushkino.hh.ru/vacancy/35871016,https://hh.ru
Middle Python Developer,Иностр. п. Admitad,Минск,Площадь Ленина,,,,https://pushkino.hh.ru/vacancy/46156454,https://hh.ru
Senior Python Developer,Top Remote Talent,Москва,,3000,5000,USD,https://pushkino.hh.ru/vacancy/46439735,https://hh.ru
Python/Go Developer (Central Services ),Wargaming,Минск,,,,,https://pushkino.hh.ru/vacancy/44686558,https://hh.ru
Web Developer (Python),220 Вольт,Санкт-Петербург,Василеостровская,,,,https://pushkino.hh.ru/vacancy/44350345,https://hh.ru
Программист Python,KamaGames Studio,Москва,Новокузнецкая,,,,https://pushkino.hh.ru/vacancy/43998374,https://hh.ru
